route #,# of schools
2.0,3
id,school name,time of arrival,start time,duration
1125,MILESTONES EDUC PM,11:32,,0:38
1211,ST JOSEPH'S,11:45,,0:05
1193,RIVER HEIGHTS PM,11:47,,0:43
DROPOFF,ST JOSEPH'S,11:50,11:50
1131,MILESTONES EDUC PM,11:59,,0:11
1132,MILESTONES EDUC PM,12:02,,0:08
1150,MILESTONES EDUC PM,12:04,,0:06
DROPOFF,MILESTONES EDUC PM,12:10,12:10
1186,RIVER HEIGHTS PM,12:22,,0:08
DROPOFF,RIVER HEIGHTS PM,12:30,12:30

mean,median,standard deviation,max,min
0:17,0:08,0:15,0:43,0:05

route #,# of schools
4.0,2
id,school name,time of arrival,start time,duration
1136,MILESTONES EDUC PM,11:35,,0:35
1142,MILESTONES EDUC PM,11:35,,0:35
1159,MILESTONES EDUC PM,11:43,,0:27
1179,RIVER HEIGHTS PM,11:47,,0:43
1168,RIVER HEIGHTS PM,11:54,,0:36
1182,RIVER HEIGHTS PM,11:54,,0:36
1189,RIVER HEIGHTS PM,11:54,,0:36
1161,MILESTONES EDUC PM,12:00,,0:10
DROPOFF,MILESTONES EDUC PM,12:10,12:10
1173,RIVER HEIGHTS PM,12:21,,0:09
1167,RIVER HEIGHTS PM,12:25,,0:05
DROPOFF,RIVER HEIGHTS PM,12:30,12:30

mean,median,standard deviation,max,min
0:27,0:35,0:13,0:43,0:05

route #,# of schools
18.0,3
id,school name,time of arrival,start time,duration
1165,RIVER HEIGHTS PM,11:33,,0:57
1176,RIVER HEIGHTS PM,11:33,,0:57
1205,ST JOSEPH'S,11:33,,0:17
1127,MILESTONES EDUC PM,11:40,,0:30
1128,MILESTONES EDUC PM,11:42,,0:28
1187,RIVER HEIGHTS PM,11:46,,0:44
DROPOFF,ST JOSEPH'S,11:50,11:50
DROPOFF,MILESTONES EDUC PM,12:10,12:10
DROPOFF,RIVER HEIGHTS PM,12:30,12:30

mean,median,standard deviation,max,min
0:38,0:37,0:15,0:57,0:17

route #,# of schools
19.0,4
id,school name,time of arrival,start time,duration
1002,ABC'S DAYCARE,7:18,,0:42
1219,SUNSHINE LEARNI,7:30,,0:35
1144,MILESTONES EDUC AM,7:30,,0:45
1149,MILESTONES EDUC AM,7:33,,0:42
1157,MILESTONES EDUC AM,7:42,,0:33
1123,MILESTONES EDUC AM,7:42,,0:33
1221,SUNSHINE LEARNI,7:45,,0:20
1013,ABC'S DAYCARE,7:53,,0:07
