route #,# of schools
1,5
id,school name,time of arrival,start time,duration
1099,LITTLE SPROUTS,6:43,,1:47
1195,ABC'S DAYCARE,7:11,,0:34
1197,SUNSHINE LEARNI,7:11,,0:35
1196,ABC'S DAYCARE,7:12,,0:33
1172,RIVER HEIGHTS AM,7:21,,1:24
1010,ABC'S DAYCARE,7:31,,0:14
1125,ABC'S DAYCARE,7:34,,0:11
DROPOFF,ABC'S DAYCARE,7:45,8:00
DROPOFF,SUNSHINE LEARNI,7:46,8:05
1194,MILESTONES EDUC AM,7:55,,0:09
DROPOFF,MILESTONES EDUC AM,8:04,8:15
1165,RIVER HEIGHTS AM,8:17,,0:28
DROPOFF,LITTLE SPROUTS,8:30,8:30
1167,RIVER HEIGHTS AM,8:43,,0:02
DROPOFF,RIVER HEIGHTS AM,8:45,8:45

mean,median,standard deviation,max,min
0:35,0:30,0:32,1:47,0:02

route #,# of schools
2,5
id,school name,time of arrival,start time,duration
1186,ABC'S DAYCARE,6:37,,1:21
1155,RIVER HEIGHTS AM,6:55,,1:50
1138,MILESTONES EDUC AM,6:57,,1:18
1222,SUNSHINE LEARNI,7:10,,0:55
1135,MILESTONES EDUC AM,7:23,,0:52
1127,MILESTONES EDUC AM,7:46,,0:29
DROPOFF,ABC'S DAYCARE,7:58,8:00
1132,MILESTONES EDUC AM,8:01,,0:14
DROPOFF,SUNSHINE LEARNI,8:05,8:05
1131,MILESTONES EDUC AM,8:09,,0:06
DROPOFF,MILESTONES EDUC AM,8:15,8:15
1016,BOUNCING BABIES AM,8:26,,0:04
DROPOFF,BOUNCING BABIES AM,8:30,8:30
1173,RIVER HEIGHTS AM,8:39,,0:06
DROPOFF,RIVER HEIGHTS AM,8:45,8:45

mean,median,standard deviation,max,min
0:43,0:40,0:35,1:50,0:04

route #,# of schools
3,5
id,school name,time of arrival,start time,duration
1008,ABC'S DAYCARE,6:53,,0:58
1139,MILESTONES EDUC AM,7:05,,1:01
1012,BOUNCING BABIES AM,7:17,,1:00
1013,BOUNCING BABIES AM,7:18,,0:59
1003,ABC'S DAYCARE,7:19,,0:32
1130,MILESTONES EDUC AM,7:21,,0:45
1225,SUNSHINE LEARNI,7:39,,0:22
DROPOFF,ABC'S DAYCARE,7:51,8:00
1141,MILESTONES EDUC AM,7:56,,0:10
DROPOFF,SUNSHINE LEARNI,8:01,8:05
1129,MILESTONES EDUC AM,8:02,,0:04
DROPOFF,MILESTONES EDUC AM,8:06,8:15
DROPOFF,BOUNCING BABIES AM,8:17,8:30
1156,RIVER HEIGHTS AM,8:31,,0:14
DROPOFF,RIVER HEIGHTS AM,8:45,8:45

mean,median,standard deviation,max,min
0:36,0:38,0:21,1:01,0:04

route #,# of schools
4,4
id,school name,time of arrival,start time,duration
1219,SUNSHINE LEARNI,6:26,,1:25
1136,MILESTONES EDUC AM,6:33,,1:36
1221,SUNSHINE LEARNI,6:39,,1:12
1157,RIVER HEIGHTS AM,6:43,,2:02
1168,RIVER HEIGHTS AM,6:52,,1:53
1159,RIVER HEIGHTS AM,7:00,,1:45
1189,MILESTONES EDUC AM,7:07,,1:02
1128,MILESTONES EDUC AM,7:35,,0:34
DROPOFF,SUNSHINE LEARNI,7:51,8:05
1161,RIVER HEIGHTS AM,8:01,,0:44
DROPOFF,MILESTONES EDUC AM,8:09,8:15
1039,BOUNCING BABIES AM,8:22,,0:08
DROPOFF,BOUNCING BABIES AM,8:30,8:30
DROPOFF,RIVER HEIGHTS AM,8:45,8:45

mean,median,standard deviation,max,min
1:14,1:18,0:35,2:02,0:08

route #,# of schools
5,3
id,school name,time of arrival,start time,duration
1036,BOUNCING BABIES AM,6:47,,1:43
1170,RIVER HEIGHTS AM,6:57,,1:48
1009,ABC'S DAYCARE,7:03,,0:57
1187,ABC'S DAYCARE,7:20,,0:40
1119,ABC'S DAYCARE,7:35,,0:25
1011,ABC'S DAYCARE,7:37,,0:23
1017,BOUNCING BABIES AM,7:42,,0:48
1163,RIVER HEIGHTS AM,7:50,,0:55
DROPOFF,ABC'S DAYCARE,8:00,8:00
1019,BOUNCING BABIES AM,8:27,,0:03
DROPOFF,BOUNCING BABIES AM,8:30,8:30
1166,RIVER HEIGHTS AM,8:40,,0:05
DROPOFF,RIVER HEIGHTS AM,8:45,8:45

mean,median,standard deviation,max,min
0:46,0:44,0:34,1:48,0:03

route #,# of schools
6,2
id,school name,time of arrival,start time,duration
1179,RIVER HEIGHTS PM,10:32,,1:58
1027,BOUNCING BABIES PM,11:02,,1:14
1026,BOUNCING BABIES PM,11:13,,1:03
1120,BOUNCING BABIES PM,11:26,,0:50
1034,BOUNCING BABIES PM,11:45,,0:31
1023,BOUNCING BABIES PM,12:00,,0:16
DROPOFF,BOUNCING BABIES PM,12:16,12:30
1174,RIVER HEIGHTS PM,12:21,,0:09
DROPOFF,RIVER HEIGHTS PM,12:30,12:30

mean,median,standard deviation,max,min
0:51,0:50,0:34,1:58,0:09

route #,# of schools
7,3
id,school name,time of arrival,start time,duration
1144,MILESTONES EDUC PM,10:55,,1:09
1149,MILESTONES EDUC PM,10:59,,1:05
1123,MILESTONES EDUC PM,11:07,,0:57
1142,MILESTONES EDUC PM,11:13,,0:51
1182,RIVER HEIGHTS PM,11:24,,1:06
1148,MILESTONES EDUC PM,11:49,,0:15
DROPOFF,MILESTONES EDUC PM,12:04,12:10
1041,BOUNCING BABIES PM,12:18,,0:03
DROPOFF,BOUNCING BABIES PM,12:21,12:30
DROPOFF,RIVER HEIGHTS PM,12:30,12:30

mean,median,standard deviation,max,min
0:46,0:57,0:24,1:09,0:03

route #,# of schools
8,3
id,school name,time of arrival,start time,duration
1033,BOUNCING BABIES PM,11:04,,1:16
1151,MILESTONES EDUC PM,11:09,,0:55
1185,RIVER HEIGHTS PM,11:25,,1:05
1184,RIVER HEIGHTS PM,11:44,,0:46
1176,RIVER HEIGHTS PM,11:51,,0:39
DROPOFF,MILESTONES EDUC PM,12:04,12:10
1180,RIVER HEIGHTS PM,12:13,,0:17
