id,school name,time of arrival,arrival time,duration
1099,LITTLE SPROUTS,7:08,,NEXT
1172,RIVER HEIGHTS AM,7:27,,NEXT
1165,RIVER HEIGHTS AM,7:32,,NEXT
1125,ABC'S DAYCARE,7:39,,NEXT
1010,ABC'S DAYCARE,7:42,,NEXT
1197,SUNSHINE LEARNI,7:44,,NEXT
1195,ABC'S DAYCARE,7:45,,NEXT
1196,ABC'S DAYCARE,7:45,,NEXT
DROPOFF,ABC'S DAYCARE,7:53,8:00,1:56
DROPOFF,SUNSHINE LEARNI,7:55,8:05,1:55
1194,MILESTONES EDUC AM,8:03,,1:32
DROPOFF,MILESTONES EDUC AM,8:12,8:15,1:28
DROPOFF,LITTLE SPROUTS,8:23,8:30,1:27
1167,RIVER HEIGHTS AM,8:33,,1:23
DROPOFF,RIVER HEIGHTS AM,8:35,8:45,1:21
PICKUP,ABC'S DAYCARE,11:00,11:00,1:20
1195,ABC'S DAYCARE,11:08,,1:17
PICKUP,MILESTONES EDUC AM,11:17,11:15,1:16
1010,ABC'S DAYCARE,11:26,,1:15
PICKUP,RIVER HEIGHTS AM,11:26,11:25,1:15
1194,MILESTONES EDUC AM,11:28,,1:15
PICKUP,LITTLE SPROUTS,11:36,11:30,1:15
PICKUP,SUNSHINE LEARNI,11:46,11:30,1:15
1196,ABC'S DAYCARE,11:55,,1:12
1197,SUNSHINE LEARNI,11:55,,1:12
1125,ABC'S DAYCARE,11:59,,1:11
1167,RIVER HEIGHTS AM,12:02,,1:11
1165,RIVER HEIGHTS AM,12:10,,1:10
1172,RIVER HEIGHTS AM,12:15,,1:10
1099,LITTLE SPROUTS,12:34,,1:10
,,,,1:07
1127,MILESTONES EDUC AM,6:57,,1:07
1155,RIVER HEIGHTS AM,7:22,,1:06
1138,MILESTONES EDUC AM,7:24,,1:06
1135,MILESTONES EDUC AM,7:24,,1:06
1222,SUNSHINE LEARNI,7:37,,1:06
1186,ABC'S DAYCARE,7:49,,1:05
DROPOFF,ABC'S DAYCARE,7:54,8:00,1:03
1132,MILESTONES EDUC AM,7:57,,1:02
DROPOFF,SUNSHINE LEARNI,8:01,8:05,1:02
1131,MILESTONES EDUC AM,8:03,,1:01
DROPOFF,MILESTONES EDUC AM,8:08,8:15,1:01
1016,BOUNCING BABIES AM,8:18,,1:01
DROPOFF,BOUNCING BABIES AM,8:22,8:30,1:01
1173,RIVER HEIGHTS AM,8:29,,0:59
DROPOFF,RIVER HEIGHTS AM,8:35,8:45,0:59
PICKUP,ABC'S DAYCARE,11:00,11:00,0:58
1186,ABC'S DAYCARE,11:05,,0:58
PICKUP,MILESTONES EDUC AM,11:10,11:15,0:57
